Metal,Temp Coefficient
Silver,0.0038
Copper,0.0039
Gold,0.0034
Aluminum,0.0039
Tungsten,0.0045
Iron,0.0065
Platinum,0.0039
Manganin,0.000002
Constantan,0.00003
Mercury,0.0009
Nichrome,0.0004
Carbon,0.0005
Germanium ,0.048
Silicon,0.07
