iter	Passed	Remaining
0	2	2468
1	5	2732
2	8	2675
3	9	2488
4	12	2505
5	14	2448
6	17	2419
7	19	2433
8	21	2413
9	23	2366
10	25	2323
11	27	2292
12	30	2280
13	32	2269
14	34	2254
15	36	2235
16	38	2216
17	40	2195
18	42	2180
19	44	2194
20	46	2176
21	48	2166
22	50	2156
23	52	2145
24	54	2133
25	56	2124
26	58	2113
27	61	2151
28	63	2137
29	65	2129
30	68	2137
31	70	2129
32	72	2125
33	74	2129
34	77	2134
35	79	2130
36	81	2129
37	83	2124
38	86	2125
39	88	2122
40	90	2118
41	92	2116
42	94	2113
43	97	2110
44	99	2109
45	101	2110
46	104	2115
47	106	2111
48	108	2105
49	110	2098
50	112	2090
51	114	2083
52	116	2076
53	117	2063
54	119	2055
55	121	2048
56	123	2043
57	125	2038
58	127	2027
59	128	2018
60	130	2013
61	132	2007
62	134	2001
63	136	1995
64	138	1991
65	140	1985
66	142	1983
67	144	1974
68	145	1967
69	147	1963
70	149	1959
71	151	1954
72	153	1949
73	155	1944
74	157	1941
75	159	1936
76	161	1930
77	162	1925
78	164	1920
79	166	1916
80	168	1912
81	170	1908
82	172	1904
83	174	1899
84	176	1894
85	177	1889
86	179	1886
87	181	1882
88	183	1879
89	185	1875
90	187	1871
91	189	1867
92	190	1860
93	192	1856
94	194	1854
95	196	1851
96	198	1848
97	200	1844
98	202	1842
99	204	1840
100	206	1836
101	207	1830
102	209	1827
103	211	1823
104	213	1820
105	215	1818
106	217	1815
107	219	1813
108	221	1811
109	223	1808
110	225	1807
111	227	1804
112	229	1803
113	231	1801
114	233	1799
115	235	1796
116	237	1795
117	239	1793
118	241	1791
119	243	1788
120	246	1787
121	248	1786
122	250	1784
123	252	1782
124	254	1779
125	256	1777
126	258	1775
127	260	1773
128	262	1771
129	264	1767
130	266	1765
131	268	1763
132	270	1760
133	272	1758
134	274	1756
135	276	1755
136	278	1753
137	280	1750
138	282	1748
139	284	1746
140	286	1743
141	288	1742
142	291	1744
143	293	1741
144	294	1739
145	297	1739
146	299	1736
147	301	1733
148	303	1731
149	304	1728
150	306	1725
151	308	1721
152	310	1717
153	312	1715
154	314	1712
155	316	1709
156	317	1707
157	319	1704
158	321	1702
159	323	1698
160	325	1695
161	327	1692
162	329	1690
163	331	1688
164	333	1685
165	335	1683
166	337	1683
167	339	1681
168	341	1679
169	343	1678
170	345	1676
171	347	1673
172	349	1671
173	351	1669
174	353	1667
175	356	1669
176	358	1667
177	360	1665
178	363	1666
179	365	1664
180	367	1662
181	369	1661
182	371	1659
183	373	1657
184	375	1655
185	377	1652
