wavelength,h2o_absorption,hbo2_extinction,hhb_extinction,cco_extinction,dpf_dep_780
nm,1/cm,1/cm/mM,1/cm/mM,1/cm/mM,
650,0.0032006,0.3868,3.7341508,4.9292424,
651,0.0032236,0.3792042,3.7029685,4.8923273,
652,0.0033387,0.3721035,3.6717861,4.8554123,
653,0.0033157,0.3658062,3.6404735,4.8067713,
654,0.0033848,0.3600084,3.6116798,4.7581303,
655,0.0032466,0.3544104,3.5831901,4.7029749,
656,0.0033157,0.3494116,3.5546135,4.6482538,
657,0.0032697,0.3450122,3.5259935,4.5878869,
658,0.0036611,0.3409125,3.49733,4.5279543,
659,0.003523,0.3375163,3.4686232,4.4636787,
660,0.0038223,0.3345153,3.4399163,4.3998374,
661,0.0038223,0.3317141,3.4053465,4.3320006,
662,0.0037532,0.3293168,3.3708635,4.2639032,
663,0.0037762,0.3275188,3.3362502,4.1917235,
664,0.0036611,0.3259163,3.2981626,4.1195437,
665,0.0037762,0.324418,3.2573823,4.0445845,
666,0.0037762,0.3233192,3.2166021,3.969495,
667,0.0037762,0.32262,3.1753875,3.8973153,
668,0.0037072,0.3219164,3.1319147,3.8251355,
669,0.0038453,0.3215169,3.0883115,3.7519569,
670,0.0038223,0.3212172,3.0447083,3.6787783,
671,0.0037302,0.3211173,2.9985428,3.6063814,
672,0.0038683,0.3211173,2.9511613,3.5339845,
673,0.0039374,0.3213171,2.9037798,3.4626299,
674,0.0040986,0.3213171,2.8561811,3.3912319,
675,0.0038223,0.3210175,2.8079744,3.3215711,
676,0.0038223,0.3207178,2.759898,3.2518668,
677,0.0039374,0.320518,2.7116913,3.1832917,
678,0.0039604,0.3204181,2.6645269,3.1148035,
679,0.0039604,0.3200186,2.6176231,3.0554354,
680,0.0040756,0.3193194,2.5706325,2.9960239,
681,0.0042137,0.3185203,2.524163,2.9488595,
682,0.0043749,0.3180208,2.4781712,2.9016517,
683,0.0042137,0.3172174,2.4322662,2.8615663,
684,0.0041677,0.3162185,2.3864047,2.8215678,
685,0.0043289,0.3156192,2.3430187,2.7851739,
686,0.004444,0.3150198,2.2998064,2.7486932,
687,0.0046052,0.3139211,2.2566376,2.7172937,
688,0.0046973,0.3134216,2.2156402,2.6859377,
689,0.0048815,0.3125227,2.1766405,2.6590114,
690,0.0047203,0.3122186,2.1376409,2.6321286,
691,0.0050657,0.3121188,2.0991624,2.6086332,
692,0.0051808,0.3121188,2.0650703,2.585051,
693,0.0051578,0.3122186,2.0309781,2.5655512,
694,0.0052499,0.3124228,1.996886,2.5461383,
695,0.0054802,0.3129222,1.9660077,2.5233378,
696,0.0058025,0.3139211,1.9365191,2.5006676,
697,0.0059176,0.3147202,1.9071174,2.4799518,
698,0.0059867,0.3163184,1.8786276,2.4592794,
699,0.0064012,0.3180208,1.8525265,2.4370001,
700,0.0065624,0.3198188,1.8265557,2.4148076,
701,0.0064472,0.3218166,1.8005415,2.3915729,
702,0.0065163,0.3242182,1.7772633,2.3683815,
703,0.0068157,0.3268153,1.7543326,2.3431924,
704,0.0069308,0.3295166,1.7314452,2.3179165,
705,0.0070229,0.3322136,1.7094699,2.2948989,
706,0.0072531,0.3351147,1.6882764,2.2719247,
707,0.0077827,0.3385152,1.6670828,2.244043,
708,0.0079209,0.3417116,1.6459761,2.2161179,
709,0.00799,0.3449123,1.6263025,2.188323,
710,0.0084044,0.3484127,1.6065856,2.1606585,
711,0.008934,0.3523084,1.586912,2.1356431,
712,0.0090952,0.3563082,1.5672819,2.1106712,
713,0.0095557,0.3601083,1.5476952,2.0815735,
714,0.0100162,0.3638085,1.5281086,2.0524757,
715,0.0105228,0.3679082,1.5089127,2.0249849,
716,0.0109373,0.3723033,1.4903249,1.997494,
717,0.0113748,0.376403,1.4717371,1.9730867,
718,0.0120195,0.3806027,1.4531493,1.9487228,
719,0.0127103,0.3853017,1.436125,1.9269212,
720,0.0129175,0.389801,1.4193178,1.9050327,
721,0.0136313,0.3942004,1.402554,1.8874004,
722,0.0143221,0.3986997,1.3871366,1.8698115,
723,0.0149898,0.4033988,1.3729351,1.8573472,
724,0.0153352,0.4081977,1.358864,1.8448395,
725,0.0162793,0.4131965,1.3452706,1.8352416,
726,0.0170161,0.4179954,1.3348475,1.8256437,
727,0.0180062,0.4228943,1.3245547,1.8175224,
728,0.0188812,0.4279929,1.314262,1.8094445,
729,0.0198253,0.4330915,1.3077475,1.8053622,
730,0.0209766,0.4381597,1.3025794,1.8012364,
731,0.0223121,0.4433712,1.297281,1.8005415,
732,0.0236015,0.4486696,1.2942844,1.7999335,
733,0.0250291,0.4538812,1.2946753,1.7994558,
734,0.0261804,0.4591796,1.2949793,1.7989346,
735,0.0272166,0.4644779,1.2955873,1.8005415,
736,0.0280915,0.4698632,1.3024492,1.8021484,
737,0.0287823,0.4752485,1.3092676,1.8040593,
738,0.0293349,0.4809377,1.316086,1.8059267,
739,0.0297033,0.4863664,1.3273777,1.8102263,
740,0.030256,0.4918385,1.3407539,1.8145258,
741,0.0301639,0.4974409,1.3541736,1.820823,
742,0.030279,0.5030433,1.3693305,1.8270335,
743,0.0303941,0.5087326,1.3883526,1.8332439,
744,0.0305093,0.5145521,1.4074616,1.8394108,
745,0.0302099,0.5201545,1.4264402,1.8446224,
746,0.0301869,0.5257569,1.4497184,1.8497471,
747,0.0301178,0.5315764,1.4732137,1.8538294,
748,0.0300257,0.5374829,1.4967091,1.8580421,
749,0.0302099,0.5434761,1.5208124,1.8630365,
750,0.0298415,0.5493391,1.5453935,1.8680309,
751,0.0300718,0.5552455,1.5698877,1.8763259,
752,0.0300718,0.5611519,1.593383,1.8846209,
753,0.0300948,0.5670583,1.6137949,1.8912222,
754,0.0300257,0.5729647,1.6341633,1.8978235,
755,0.0298645,0.578958,1.6544883,1.9014281,
756,0.0296573,0.5854724,1.664173,1.9050327,
757,0.0298415,0.5910314,1.6728589,1.9081162,
758,0.0296803,0.5972418,1.6815882,1.9111997,
759,0.029427,0.602931,1.6811539,1.9143266,
760,0.029358,0.6094454,1.6740749,1.9173233,
761,0.029404,0.6155256,1.6669959,1.9201028,
762,0.0290356,0.621736,1.656182,1.9230125,
763,0.0288284,0.6281201,1.6339027,1.9280069,
764,0.0288053,0.6343305,1.6117103,1.9330013,
765,0.0286672,0.6405409,1.5893875,1.9386037,
766,0.0287593,0.6467513,1.5578143,1.9441192,
767,0.028529,0.6533526,1.5255028,1.9492874,
768,0.0282527,0.6594327,1.4931044,1.954412,
769,0.0280225,0.6656432,1.4586214,1.9597104,
770,0.0280455,0.6718101,1.4225316,1.9650957,
771,0.0278152,0.6783246,1.3865286,1.9700032,
772,0.027654,0.6847087,1.3509598,1.9749107,
773,0.0272856,0.6909191,1.3165637,1.9805131,
774,0.0272396,0.6972164,1.2821676,1.9862024,
775,0.0274238,0.7036005,1.2477715,1.9947146,
776,0.0269402,0.7099412,1.2171971,2.0031833,
777,0.0265718,0.7164122,1.1867097,2.0149961,
778,0.0264567,0.7227094,1.1563091,2.0267655,
779,0.0264797,0.7295279,1.1295131,2.0381874,
780,0.0262955,0.7358251,1.1047149,2.0494791,1
781,0.0259501,0.7419921,1.0800469,2.0606839,0.9996
782,0.0257429,0.7482894,1.0568122,2.0718887,0.9991
783,0.0257199,0.754717,1.0369215,2.0845701,0.9987
784,0.0253054,0.7611011,1.0170308,2.0973818,0.9982
785,0.0250291,0.7679195,0.997227,2.1075443,0.9978
786,0.0246837,0.7740865,0.9819398,2.1177502,0.9971
787,0.0242923,0.7806009,0.9665658,2.1265664,0.9965
788,0.0244304,0.7872022,0.9512786,2.1354694,0.9958
789,0.0242462,0.7938903,0.9382498,2.1427655,0.9951
790,0.0238548,0.8003179,0.9261764,2.1500617,0.9945
791,0.0235785,0.8067889,0.9140596,2.156663,0.9937
792,0.0235324,0.813173,0.9031588,2.1632642,0.9929
793,0.0233022,0.8194703,0.8936912,2.1757285,0.9922
794,0.023141,0.8262018,0.8841801,2.1881493,0.9914
795,0.0226344,0.8328031,0.8749731,2.200961,0.9906
796,0.0224272,0.8389701,0.8673729,2.2136424,0.9883
797,0.0223121,0.8455714,0.8597728,2.2273227,0.9859
798,0.0221969,0.8521726,0.8521726,2.2410464,0.9835
799,0.0218976,0.8586002,0.8458754,2.2512089,0.9812
800,0.0220127,0.8650712,0.839665,2.2613279,0.9788
801,0.0218976,0.8713684,0.8335848,2.2660183,0.9779
802,0.0215522,0.877796,0.8282864,2.2707087,0.977
803,0.0216213,0.884267,0.8235092,2.2756162,0.976
804,0.0215292,0.8906946,0.8187754,2.2806106,0.9751
805,0.0214601,0.8970787,0.814389,2.2864302,0.9742
806,0.021368,0.9035497,0.8109147,2.2921194,0.9732
807,0.0212529,0.9099772,0.80731,2.2985035,0.9721
808,0.021391,0.9161876,0.8037922,2.3049311,0.9711
809,0.0215982,0.9224849,0.8011865,2.3107941,0.9701
810,0.0216904,0.928869,0.7984938,2.3166136,0.969
811,0.0219206,0.9351663,0.7958881,2.3206091,0.9675
812,0.0220588,0.9413767,0.7938903,2.3246915,0.966
813,0.0223121,0.9475437,0.7919794,2.3275144,0.9645
814,0.0221969,0.9536673,0.7901988,2.3302939,0.963
815,0.0226574,0.9600514,0.7885919,2.3328997,0.9615
816,0.0229107,0.9663487,0.7872022,2.3355054,0.9599
817,0.0232791,0.9725591,0.7858993,2.3381981,0.9583
818,0.0235094,0.9786392,0.7846833,2.3408907,0.9567
819,0.0234633,0.9845456,0.7839884,2.3435833,0.955
820,0.0241081,0.9908429,0.7832067,2.3463194,0.9534
821,0.0243153,0.9970533,0.7825118,2.347188,0.9516
822,0.0244074,1.0029597,0.7819906,2.3480131,0.9497
823,0.0251673,1.0088227,0.7815129,2.3464931,0.9479
824,0.025858,1.0150331,0.7809918,2.3448862,0.946
825,0.0263416,1.0208526,0.7806878,2.3423239,0.9442
826,0.0280455,1.0270196,0.7806009,2.3397181,0.9421
827,0.0290126,1.0330563,0.7803838,2.3362872,0.9401
828,0.0306935,1.0390495,0.7802969,2.3328997,0.9381
829,0.0318678,1.0446519,0.78021,2.3294253,0.936
830,0.0335947,1.0504281,0.78021,2.3259075,0.934
831,0.034769,1.0561173,0.78021,2.3226937,0.9321
832,0.036519,1.06185,0.78021,2.3193931,0.9302
833,0.0377163,1.067713,0.78021,2.3168308,0.9283
834,0.0381308,1.0736194,0.7802969,2.314225,0.9264
835,0.0391209,1.0794389,0.7802969,2.3125313,0.9245
836,0.040065,1.0848242,0.7803838,2.3107072,0.9226
837,0.040065,1.0904266,0.780514,2.3100123,0.9208
838,0.0404794,1.0959421,0.7806878,2.3092306,0.9189
839,0.0408248,1.1015011,0.7809918,2.3084055,0.9171
840,0.0413314,1.1069298,0.7812958,2.3074934,0.9152
841,0.0417459,1.1125322,0.7815129,2.305626,0.9154
842,0.0415617,1.1179174,0.7818169,2.3037151,0.9157
843,0.0417689,1.1229987,0.7821209,2.3013265,0.9159
844,0.0419531,1.1282971,0.7825118,2.2988944,0.9162
845,0.0422524,1.1335955,0.7831198,2.2966361,0.9164
846,0.0425518,1.138807,0.7836844,2.294204,0.9151
847,0.042736,1.1438882,0.7842924,2.2928143,0.9137
848,0.0433577,1.1490998,0.7848136,2.2913377,0.9124
849,0.0437031,1.1543982,0.7854216,2.2905994,0.911
850,0.0440485,1.1593057,0.7858993,2.2899045,0.9097
851,0.0439333,1.1642132,0.7868982,2.2872987,0.9083
852,0.044578,1.1691207,0.7878102,2.2847364,0.907
853,0.0444629,1.173898,0.7888091,2.2799157,0.9056
854,0.0444399,1.1787187,0.7898948,2.2751385,0.9043
855,0.044532,1.1838868,0.7909805,2.2679292,0.9029
856,0.0451076,1.1881863,0.7921097,2.2607199,0.9016
857,0.0451307,1.1930938,0.7932823,2.2521209,0.9002
858,0.0453379,1.1976973,0.7947155,2.2436087,0.8989
859,0.045407,1.2023008,0.7961052,2.2367469,0.8975
860,0.0456142,1.2067741,0.797495,2.2297547,0.8962
861,0.0460747,1.2110736,0.7991018,2.2253249,0.895
